iter	Passed	Remaining
0	6	6765
1	13	6656
2	19	6419
3	25	6411
4	31	6365
5	37	6259
6	43	6225
7	50	6203
8	56	6193
9	63	6326
10	69	6241
11	76	6272
12	83	6322
13	90	6397
14	97	6420
15	103	6388
16	110	6411
17	117	6425
18	125	6473
19	132	6507
20	139	6507
21	146	6497
22	153	6510
23	160	6523
24	166	6501
25	173	6514
26	180	6489
27	187	6515
28	194	6508
29	199	6446
30	205	6429
31	211	6386
32	216	6356
33	223	6356
34	229	6316
35	234	6285
36	241	6291
37	246	6249
38	253	6247
39	259	6221
40	264	6194
41	271	6185
42	276	6147
43	281	6116
44	287	6106
45	293	6089
46	299	6072
47	305	6057
48	310	6035
49	316	6013
50	322	5992
51	327	5962
52	333	5956
53	339	5949
54	345	5931
55	351	5921
56	357	5908
57	362	5891
58	368	5879
59	374	5862
60	382	5884
61	390	5913
62	396	5899
63	403	5899
64	408	5881
65	414	5867
66	420	5862
67	426	5848
68	432	5841
69	438	5829
70	444	5817
71	450	5812
72	457	5804
73	462	5791
74	468	5780
75	473	5758
76	478	5740
77	485	5737
78	491	5732
79	498	5727
80	504	5720
81	510	5718
82	519	5736
83	525	5733
84	532	5733
85	540	5741
86	548	5754
87	555	5757
88	562	5758
89	571	5775
90	578	5777
91	586	5791
92	594	5795
93	602	5805
94	608	5800
95	615	5799
96	622	5795
97	629	5796
98	637	5799
99	643	5794
100	650	5786
101	656	5779
102	662	5769
103	667	5754
104	673	5741
105	680	5738
106	687	5737
107	693	5731
108	699	5714
109	704	5700
110	710	5689
111	716	5678
112	721	5660
113	727	5650
114	732	5639
115	738	5626
116	744	5619
117	750	5611
118	756	5597
119	762	5592
120	768	5580
121	773	5569
122	780	5562
123	785	5548
124	791	5542
125	797	5532
126	803	5521
127	809	5513
128	814	5500
129	820	5490
130	826	5479
131	831	5469
132	836	5455
133	843	5448
134	848	5434
135	853	5423
136	859	5416
137	864	5402
138	870	5392
139	876	5381
140	881	5372
